Comunidad y ciudad autónoma de defunción;Covid-19;Sexo;Edad;Total
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;De 90 a 94 años;34
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;95 y más años;7
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;Total;174
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;De 0 a 49 años;1
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;De 50 a 54 años;..
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;De 55 a 59 años;2
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;De 60 a 64 años;..
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;De 65 a 69 años;..
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;De 70 a 74 años;3
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;De 75 a 79 años;16
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;De 80 a 84 años;22
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;De 85 a 89 años;49
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;De 90 a 94 años;52
Aragón;Covid-19 Virus no identificado (sospechoso);Mujeres;95 y más años;29
Aragón;Otras causas;Total;Total;13.738
Aragón;Otras causas;Total;De 0 a 49 años;395
Aragón;Otras causas;Total;De 50 a 54 años;254
Aragón;Otras causas;Total;De 55 a 59 años;409
Aragón;Otras causas;Total;De 60 a 64 años;534
Aragón;Otras causas;Total;De 65 a 69 años;684
Aragón;Otras causas;Total;De 70 a 74 años;1.018
Aragón;Otras causas;Total;De 75 a 79 años;1.273
Aragón;Otras causas;Total;De 80 a 84 años;1.842
Aragón;Otras causas;Total;De 85 a 89 años;3.040
Aragón;Otras causas;Total;De 90 a 94 años;2.764
Aragón;Otras causas;Total;95 y más años;1.525
Aragón;Otras causas;Hombres;Total;6.767
Aragón;Otras causas;Hombres;De 0 a 49 años;261
Aragón;Otras causas;Hombres;De 50 a 54 años;160
Aragón;Otras causas;Hombres;De 55 a 59 años;280
Aragón;Otras causas;Hombres;De 60 a 64 años;371
Aragón;Otras causas;Hombres;De 65 a 69 años;456
